date,price
2021-08-18,34.99
2021-08-19,34.99
2021-08-20,34.99
2021-08-21,34.99
2021-08-22,34.99
2021-08-23,39.99
2021-08-24,35.00
2021-08-25,35.00
2021-08-26,35.00
2021-08-27,35.00
2021-08-28,30.00
2021-08-29,30.00
2021-08-30,30.00
2021-08-31,30.00
2021-09-01,30.00
2021-09-02,30.00
2021-09-03,30.00
2021-09-04,30.00
2021-09-05,30.00
2021-09-06,30.00
2021-09-07,30.00
2021-09-08,30.00
2021-09-09,39.99
2021-09-10,39.99
2021-09-11,39.99
2021-09-12,39.99
2021-09-13,39.99
2021-09-14,39.99
2021-09-15,39.99
2021-09-16,39.99
2021-09-17,39.99
2021-09-18,39.99
2021-09-19,39.99
2021-09-20,39.99
2021-09-21,39.99
2021-09-22,39.99
2021-09-23,39.99
2021-09-24,39.99
2021-09-25,39.99
2021-09-26,39.99
2021-09-27,39.99
2021-09-28,39.99
2021-09-29,39.99
2021-09-30,39.99
2021-10-01,39.99
2021-10-02,39.99
2021-10-03,39.99
2021-10-04,24.99
2021-10-05,24.99
2021-10-06,24.99
2021-10-07,24.99
2021-10-08,24.99
2021-10-09,24.99
2021-10-10,24.99
2021-10-11,24.99
2021-10-12,24.99
2021-10-13,24.99
2021-10-14,24.99
2021-10-15,24.99
2021-10-16,24.99
2021-10-17,24.99
2021-10-18,24.99
2021-10-19,24.99
2021-10-20,24.99
2021-10-21,24.99
2021-10-22,24.99
2021-10-23,24.99
2021-10-24,24.99
2021-10-25,24.99
